AuthorityName,Region,Sector,authority_id,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Forth Valley Health Board,Central,National Health Service,79,541,4,8,0,0,460,61,9,52,0,0,338,8,3,63,0,7,0,0,0,0,5,0,0,0,0,0,6,4,0,1,0,1512,10,8,2,1,4,5,0,0,0,0,0,0,0,29,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Teaching Council for Scotland,National,Others e.g. NDPBs,80,45,0,0,3,2,43,1,0,0,0,1,26,2,12,6,0,0,0,0,,,,,,,,,,,,,,22,1,1,0,0,0,1,0,0,,,,,,2,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
Glasgow Caledonian University,Strathclyde,Educational Institutions,81,273,11,1,0,0,244,18,0,0,0,2,209,5,57,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,,,,,,,,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,
Glasgow City Council,Strathclyde,Local Government,82,2365,2,15,0,0,2308,67,12,100,0,0,671,256,740,152,12,197,0,0,9,6,174,21,10,0,2,0,54,6,44,11,0,880,64,55,9,0,43,15,12,37,27,1,2,18,3,130,0,7,0,0,3,0,0,0,0,0,0,13,0,0,4,0,0,0,0,51,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,16,0,0,0,0,311,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0
City of Glasgow Licensing Board,Strathclyde,Local Government,83,8,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Glasgow School of Art,Strathclyde,Educational Institutions,85,82,2,1,0,0,73,6,0,0,0,0,36,14,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,1,1,0,0,0,0,0,0,0,7,7,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,1,2,,,,7,,,1,,,,,,,,,,,,,,,,
Grampian Health Board,Grampian,National Health Service,86,705,1,4,0,0,612,56,36,67,0,0,322,77,264,212,1,8,0,0,0,0,8,0,0,0,1,0,3,0,4,2,0,1533,10,10,0,0,10,0,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,211,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greater Glasgow Health Board,Strathclyde,National Health Service,88,882,16,7,0,0,643,119,2,17,4,11,269,18,326,106,0,20,0,0,0,0,12,4,0,0,0,0,8,0,6,2,0,9190,14,1,4,2,3,1,1,0,0,0,0,0,0,26,,,,,4,,,,,,,,,,2,,,,,,12,,,,,,,,,,,,,,,,2,,,,3,100,,,,,,,,,,,,,,,,,,1,
Heriot-Watt University,Lothian and Borders,Educational Institutions,93,224,2,0,0,0,198,21,3,1,0,0,190,0,30,1,0,11,0,0,0,0,11,0,0,0,0,0,7,0,2,0,0,37,1,1,0,0,1,0,0,1,1,0,0,1,0,12,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland and Western Isles Valuation Joint Board,Highland and Islands,Local Government,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland Council and Licensing Board,Highland and Islands,Local Government,95,1135,9,15,0,0,900,191,44,24,0,1,676,67,187,107,0,356,1,5,0,0,273,70,14,0,0,0,298,2,17,18,0,23,14,8,6,0,9,0,5,10,7,3,0,5,5,43,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,2,0,0,13,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
Highland Health Board,Highland and Islands,National Health Service,97,656,6,13,0,0,397,201,9,19,0,0,446,29,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,3,1,4,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highlands and Islands Enterprise,Highland and Islands,Others e.g. NDPBs,98,97,3,2,0,0,89,2,0,0,0,0,56,0,29,6,0,3,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,4,6,,,,,,13,1,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,1,,,1,
Inverclyde Council,Strathclyde,Local Government,100,1014,30,6,0,0,792,186,15,5,0,1,815,79,46,48,0,32,0,0,3,1,28,1,0,1,0,0,24,2,3,1,0,63,15,12,1,3,10,3,2,6,2,1,1,3,0,3,,,,,6,,,,,,,,,,7,,,,,,3,,,,,,,,8,4,,,,,,,1,5,,,1,7,,,,,,,2,,,,,1,2,,,,3,1,
Inverclyde Licensing Board,Strathclyde,Local Government,101,5,0,0,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverness College,Highland and Islands,Educational Institutions,102,19,0,0,0,0,19,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,1,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,1,1,1,1
Keeper of the Registers of Scotland,National,Non Ministerial Officeholders,105,78,0,0,0,0,77,0,0,0,0,0,11,21,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,1,0,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,6,23,,,,,,,,,,,,,,,,,,,
Lanarkshire Health Board,Strathclyde,National Health Service,108,565,1,5,0,0,448,83,16,8,0,4,247,53,230,24,0,28,0,0,0,0,28,6,2,0,8,0,6,1,27,11,0,,1,2,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,8,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0
Lanarkshire Valuation Joint Board,Strathclyde,Local Government,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lews Castle College,Highland and Islands,Educational Institutions,112,52,0,0,0,0,52,0,0,0,0,0,46,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Local Government Boundary Commission for Scotland,National,Others e.g. NDPBs,113,15,0,0,0,0,13,2,0,0,0,0,8,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Lomond and The Trossachs National Park Authority,Strathclyde,Others e.g. NDPBs,114,27,0,1,0,0,26,0,0,0,0,0,6,0,14,6,0,21,0,0,0,0,19,2,0,2,0,0,9,0,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,21,,,,,,,,,1,2,,,,7,
Lothian Health Board,Lothian and Borders,National Health Service,115,749,9,5,0,0,561,147,19,130,0,0,301,106,301,79,0,8,0,0,0,0,6,2,0,4,0,0,4,1,3,2,0,46,28,24,3,1,8,13,0,1,0,1,0,1,0,66,,,,,15,,,,,,,,4,3,3,3,,,,,10,,2,,,,,,3,,,,,,3,,,,,,9,174,,2,,,,,,,1,,,,,,,,1,2,
Mental Welfare Commission for Scotland,National,Others e.g. NDPBs,118,12,0,0,0,0,9,0,0,0,0,0,5,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Midlothian Council,Lothian and Borders,Local Government,119,1296,2,17,0,0,1070,130,56,5,0,0,1176,15,3,3,0,31,0,0,0,0,26,5,0,0,0,0,31,0,0,0,0,73,8,6,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midlothian Licensing Board,Lothian and Borders,Local Government,120,14,0,0,0,0,11,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray College,Grampian,Educational Institutions,121,10,0,0,0,0,7,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moray Council and Licensing Board,Grampian,Local Government,122,895,24,3,0,0,796,44,50,26,0,0,414,172,223,95,2,91,3,0,0,0,85,5,1,0,0,0,42,19,26,11,0,63,10,9,1,0,7,1,2,0,0,0,0,0,0,140,0,0,0,0,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,75,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Edinburgh Napier University,Lothian and Borders,Educational Institutions,125,267,6,1,0,0,246,21,0,11,0,0,171,42,50,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,2,0,0,0,0,0,0,0,0,41,,,,,5,,,,,,,,,,1,,,,,,18,,,,,,,,3,,,,,,,,1,1,,,,14,,,,,,,,,,,,,,,,,,,
Newbattle Abbey College,Lothian and Borders,Educational Institutions,126,7,0,0,0,0,5,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS 24,National,National Health Service,127,126,1,13,0,0,114,0,0,0,0,1,20,1,13,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS Education for Scotland,National,National Health Service,128,51,1,0,0,0,40,2,0,0,0,0,27,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHS National Services Scotland,National,National Health Service,130,352,3,2,0,0,320,2,1,2,0,1,60,36,58,199,0,4,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,49,4,1,0,0,1,0,1,0,0,0,0,0,0,21,0,0,0,0,4,0,0,0,0,0,0,0,1,1,3,0,0,0,0,2,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
North Ayrshire Council and Licensing Board,Ayrshire,Local Government,131,995,17,0,0,0,911,76,8,8,0,0,484,0,248,143,0,188,4,0,1,0,163,20,5,0,0,0,101,0,28,33,0,3,14,13,1,1,12,2,1,3,3,0,0,3,1,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,20,39,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
North Highland College,Highland and Islands,Educational Institutions,134,7,0,0,0,0,6,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Lanarkshire Council and Licensing Board,Strathclyde,Local Government,135,1067,22,5,0,0,997,48,1,44,0,0,476,149,304,116,10,261,1,0,0,0,257,4,2,0,36,0,75,14,135,37,0,,17,13,2,0,10,3,2,5,6,0,0,4,2,160,,,,,1,,,,,,,,,,9,,,,,,5,,,,,,,,1,,,,,,,,2,4,,,5,104,,,,247,,,,,1,1,1,2,1,,2,,1,78,
Office of the Scottish Charity Regulator,National,Non Ministerial Officeholders,139,17,0,4,0,0,14,0,0,0,0,0,1,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,
Orkney and Shetland Valuation Joint Board and Assessor for Orkney and Shetland Valuation Joint Board,Highland and Islands,Local Government,140,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orkney Islands Council and Licensing Board,Highland and Islands,Local Government,141,975,33,6,0,0,853,82,7,8,0,1,756,70,62,45,0,89,0,1,0,0,76,10,0,2,0,0,40,34,10,2,0,17,12,11,1,0,10,2,0,3,2,1,0,2,0,75,,,,,3,,,,,,,,,,3,,,,,,34,,,,,,,,2,,,,,,,,1,2,,,,41,,,,,,,,,,,,,,,,,1,,
Orkney Health Board,Highland and Islands,National Health Service,143,432,7,3,0,0,362,58,1,42,0,0,223,58,146,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,9,9,0,0,6,4,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parole Board for Scotland,National,Others e.g. NDPBs,144,28,0,0,0,0,27,1,0,2,0,0,19,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perth and Kinross Council and Licensing Board,Tayside,Local Government,145,1003,23,11,0,0,808,195,0,12,0,2,370,109,367,113,3,328,2,2,0,0,265,63,0,0,1,0,116,88,124,100,0,96,5,5,0,0,5,0,0,5,4,1,0,3,2,58,1,2,0,0,2,0,0,0,0,0,0,0,0,1,49,0,0,0,0,1,4,0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,1,1,0,0,2,116,0,0,0,25,0,0,2,1,0,5,1,0,10,2,0,0,6,38,0
Perth College,Tayside,Educational Institutions,147,22,0,0,0,0,18,3,0,0,0,0,16,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's and Lord Treasurer's Remembrancer,National,Non Ministerial Officeholders,149,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen's Printer for Scotland,National,Non Ministerial Officeholders,150,2,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Margaret University Edinburgh,Lothian and Borders,Educational Institutions,151,236,5,4,0,0,173,38,6,1,0,2,130,6,69,5,0,4,0,0,0,0,5,0,0,0,0,0,4,0,1,0,0,1,2,2,0,0,1,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renfrewshire Council,Strathclyde,Local Government,155,1191,4,3,0,1,1119,71,0,21,0,2,707,139,299,60,0,179,0,1,0,0,174,5,0,0,0,0,100,21,27,4,0,247,19,19,0,0,5,10,4,2,3,0,0,1,1,84,0,1,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,18,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,53,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
Renfrewshire Licensing Board,Strathclyde,Local Government,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Renfrewshire Valuation Joint Board and Assessor for Renfrewshire Valuation Joint Board,Strathclyde,Local Government,157,7,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Gordon University,Grampian,Educational Institutions,159,238,0,1,0,0,229,9,0,1,0,0,148,1,81,11,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal Conservatoire of Scotland,Strathclyde,Educational Institutions,161,64,0,0,0,0,63,1,0,0,0,0,52,3,7,1,0,0,,,,,,,,,,,,,,,,3,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,
Sabhal Mor Ostaig,Highland and Islands,Educational Institutions,162,6,0,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scottish Advisory Committee on Distinction Awards,National,National Health Service,163,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRUC,National,Educational Institutions,164,55,1,3,0,0,39,12,1,0,0,0,43,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Scottish Ambulance Service Board,National,National Health Service,166,295,10,2,0,0,103,73,1,0,0,0,145,4,24,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,2,,,,,,,,,,,,,,,,
Scottish Borders Council and Licensing Board,Lothian and Borders,Local Government,167,630,28,1,0,0,510,120,5,31,1,0,353,46,222,22,1,371,13,3,0,0,347,37,1,4,5,2,222,22,130,17,0,61,20,16,2,3,15,2,1,12,6,5,1,10,2,50,0,19,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,17,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,3,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,53,0
