AuthorityName,authority_id,sector,render_full,wdtk_id_1,wdtk_id_2,wdtk_id_3,wdtk_id_4,wdtk_id_5,wdtk_id_6,wdtk_id_7,wdtk_id_8,wdtk_id_9,wdtk_id_10,wdtk_id_11
Renfrewshire Valuation Joint Board and Assessor for Renfrewshire Valuation Joint Board,157,Local Government,1,5684,5620,,,,,,,,,
Lanarkshire Valuation Joint Board,109,Local Government,1,5701,,,,,,,,,,
Scottish Borders Council and Licensing Board,167,Local Government,1,636,5629,,,,,,,,,
Midlothian Council,119,Local Government,1,265,,,,,,,,,,
Midlothian Licensing Board,120,Local Government,1,5636,,,,,,,,,,
South Ayrshire Council and Licensing Board,194,Local Government,1,345,5627,,,,,,,,,
Stirling Council and Licensing Board,202,Local Government,1,374,5625,,,,,,,,,
West Dunbartonshire Council and Licensing Board,228,Local Government,1,428,5658,,,,,,,,,
NESTRANS,238,Local Government,1,5708,,,,,,,,,,
HITRANS,239,Local Government,1,5696,,,,,,,,,,
SESTRAN,240,Local Government,1,5667,,,,,,,,,,
SWESTRANS,241,Local Government,1,5664,,,,,,,,,,
TACTRAN,243,Local Government,1,5660,,,,,,,,,,
Renfrewshire Council,155,Local Government,1,315,,,,,,,,,,
Renfrewshire Licensing Board,156,Local Government,1,5630,,,,,,,,,,
Shetland Islands Council (including Licensing Board and Transport Partnership),191,Local Government,1,339,5628,,,,,,,,,
South Lanarkshire Council,197,Local Government,1,354,,,,,,,,,,
South Lanarkshire Licensing Board,198,Local Government,1,5626,,,,,,,,,,
Strathclyde Partnership for Transport,205,Local Government,1,1636,,,,,,,,,,
Tay Road Bridge Joint Board,207,Local Government,1,5663,,,,,,,,,,
Tayside Valuation Joint Board,210,Local Government,1,5661,,,,,,,,,,
West Lothian Council,231,Local Government,1,430,,,,,,,,,,
West Lothian Licensing Board,232,Local Government,1,5624,,,,,,,,,,
Western Isles Licensing Board,233,Local Government,1,5623,,,,,,,,,,
Scottish Ministers (including most Government Agencies and Non-Ministerial Officeholders),180,Ministers/Parliament,1,5669,1183,1191,1192,2887,4343,5686,5691,52396,91526,91527
Scottish Parliament,182,Ministers/Parliament,1,1188,,,,,,,,,,
Scottish Prison Service,184,Ministers/Parliament,1,1190,,,,,,,,,,
Ayrshire and Arran Health Board,31,National Health Service,1,1236,,,,,,,,,,
NHS 24,127,National Health Service,1,1264,,,,,,,,,,
NHS Education for Scotland,128,National Health Service,1,1249,,,,,,,,,,
NHS Health Scotland,129,National Health Service,1,1261,,,,,,,,,,
NHS National Services Scotland,130,National Health Service,1,1262,,,,,,,,,,
Borders Health Board,39,National Health Service,1,1237,,,,,,,,,,
Dumfries and Galloway Health Board,58,National Health Service,1,1238,,,,,,,,,,
Fife Health Board,75,National Health Service,1,1239,,,,,,,,,,
Forth Valley Health Board,79,National Health Service,1,1240,,,,,,,,,,
Grampian Health Board,86,National Health Service,1,1241,,,,,,,,,,
Greater Glasgow Health Board,88,National Health Service,1,1242,,,,,,,,,,
Scottish Advisory Committee on Distinction Awards,163,National Health Service,1,1265,,,,,,,,,,
Scottish Ambulance Service Board,166,National Health Service,1,1267,,,,,,,,,,
Highland Health Board,97,National Health Service,1,1243,,,,,,,,,,
Scottish Dental Practice Board,172,National Health Service,1,1268,,,,,,,,,,
Lanarkshire Health Board,108,National Health Service,1,1244,,,,,,,,,,
Lothian Health Board,115,National Health Service,1,1245,,,,,,,,,,
State Hospitals Board For Scotland,201,National Health Service,1,1269,,,,,,,,,,
Orkney Health Board,143,National Health Service,1,1250,,,,,,,,,,
Shetland Health Board,193,National Health Service,1,1246,,,,,,,,,,
Tayside Health Board,209,National Health Service,1,1247,,,,,,,,,,
Western Isles Health Board,234,National Health Service,1,1248,,,,,,,,,,
National Waiting Times Centre Board,250,National Health Service,1,4242,,,,,,,,,,
Healthcare Improvement Scotland,257,National Health Service,1,8128,,,,,,,,,,
Keeper of the Registers of Scotland,105,Non Ministerial Officeholders,1,1214,,,,,,,,,,
Queen's Printer for Scotland,150,Non Ministerial Officeholders,1,1217,,,,,,,,,,
Scottish Courts and Tribunals Service,170,Non Ministerial Officeholders,1,1185,,,,,,,,,,
Crown Office and Procurator Fiscal Service,53,Non Ministerial Officeholders,1,1215,,,,,,,,,,
Office of the Scottish Charity Regulator,139,Non Ministerial Officeholders,1,4238,,,,,,,,,,
Queen's and Lord Treasurer's Remembrancer,149,Non Ministerial Officeholders,1,1216,,,,,,,,,,
Scottish Sentencing Council,319,Non Ministerial Officeholders,1,,,,,,,,,,,
Revenue Scotland,312,Non Ministerial Officeholders,1,54797,,,,,,,,,,
Food Standards Scotland,318,Non Ministerial Officeholders,1,54884,,,,,,,,,,
Scottish Fiscal Commission,398,Non Ministerial Officeholders,1,87994,,,,,,,,,,
Accounts Commission for Scotland,7,Others e.g. NDPBs,0,4268,,,,,,,,,,
Audit Scotland,28,Others e.g. NDPBs,0,2875,,,,,,,,,,
Auditor General for Scotland,29,Others e.g. NDPBs,0,2876,,,,,,,,,,
Bord na Gaidhlig,37,Others e.g. NDPBs,0,4270,,,,,,,,,,
Cairngorms National Park Authority,40,Others e.g. NDPBs,0,667,,,,,,,,,,
Crofting Commission,52,Others e.g. NDPBs,0,12853,,,,,,,,,,
General Teaching Council for Scotland,80,Others e.g. NDPBs,0,4260,,,,,,,,,,
Highlands and Islands Enterprise,98,Others e.g. NDPBs,0,4261,,,,,,,,,,
Local Government Boundary Commission for Scotland,113,Others e.g. NDPBs,0,4263,,,,,,,,,,
Loch Lomond and The Trossachs National Park Authority,114,Others e.g. NDPBs,0,668,,,,,,,,,,
Mental Welfare Commission for Scotland,118,Others e.g. NDPBs,0,4264,,,,,,,,,,
Parole Board for Scotland,144,Others e.g. NDPBs,0,4243,,,,,,,,,,
Scottish Children's Reporter Administration,169,Others e.g. NDPBs,0,4271,,,,,,,,,,
Scottish Criminal Cases Review Commission,171,Others e.g. NDPBs,0,4288,,,,,,,,,,
Scottish Enterprise,173,Others e.g. NDPBs,0,4251,,,,,,,,,,
Scottish Environment Protection Agency,174,Others e.g. NDPBs,1,3668,,,,,,,,,,
Scottish Further and Higher Education Funding Council,176,Others e.g. NDPBs,0,4172,,,,,,,,,,
Scottish Information Commissioner,177,Others e.g. NDPBs,0,2586,,,,,,,,,,
Scottish Law Commission,178,Others e.g. NDPBs,0,4280,,,,,,,,,,
Scottish Legal Aid Board,179,Others e.g. NDPBs,0,4164,,,,,,,,,,
Scottish Natural Heritage,181,Others e.g. NDPBs,0,3312,,,,,,,,,,
Scottish Public Services Ombudsman,186,Others e.g. NDPBs,0,3591,,,,,,,,,,
Scottish Qualifications Authority,187,Others e.g. NDPBs,0,4277,,,,,,,,,,
Scottish Social Services Council,188,Others e.g. NDPBs,0,1028,,,,,,,,,,
Scottish Sports Council,189,Others e.g. NDPBs,0,4253,,,,,,,,,,
Scottish Water,190,Others e.g. NDPBs,0,3618,,,,,,,,,,
Standards Commission for Scotland,200,Others e.g. NDPBs,0,4255,,,,,,,,,,
Police Investigations and Review Commissioner,212,Others e.g. NDPBs,0,52163,,,,,,,,,,
Scottish Legal Complaints Commission,213,Others e.g. NDPBs,0,3644,,,,,,,,,,
National Library of Scotland,215,Others e.g. NDPBs,0,4199,,,,,,,,,,
VisitScotland,226,Others e.g. NDPBs,0,4254,,,,,,,,,,
Scottish Road Works Commissioner,235,Others e.g. NDPBs,0,5668,,,,,,,,,,
Scottish Commission for Human Rights,237,Others e.g. NDPBs,0,4272,,,,,,,,,,
Board of Trustees for the National Galleries of Scotland,34,Others e.g. NDPBs,0,4247,,,,,,,,,,
Quality Meat Scotland,244,Others e.g. NDPBs,0,4244,,,,,,,,,,
Risk Management Authority,245,Others e.g. NDPBs,0,4245,,,,,,,,,,
Board of Trustees of the National Museums of Scotland,35,Others e.g. NDPBs,0,4248,,,,,,,,,,
Board of Trustees of the Royal Botanic Garden Edinburgh,36,Others e.g. NDPBs,0,4249,,,,,,,,,,
Judicial Appointments Board for Scotland,252,Others e.g. NDPBs,0,4702,,,,,,,,,,
Creative Scotland,254,Others e.g. NDPBs,0,6081,,,,,,,,,,
Social Care and Social Work Improvement Scotland,255,Others e.g. NDPBs,0,8131,,,,,,,,,,
Commissioner for Ethical Standards in Public Life in Scotland,256,Others e.g. NDPBs,0,8130,,,,,,,,,,
Scottish Housing Regulator,258,Others e.g. NDPBs,0,1179,,,,,,,,,,
Children's Hearings Scotland,259,Others e.g. NDPBs,0,8156,,,,,,,,,,
Scottish Fire and Rescue Service,263,Others e.g. NDPBs,1,52069,,,,,,,,,,
Criminal Courts Rules Council,268,Others e.g. NDPBs,0,52183,,,,,,,,,,
Scottish Civil Justice Council,269,Others e.g. NDPBs,0,52185,,,,,,,,,,
Water Industry Commission for Scotland,227,Others e.g. NDPBs,0,4236,,,,,,,,,,
The Commissioner for Children and Young People in Scotland,246,Others e.g. NDPBs,0,4297,,,,,,,,,,
The Moredun Research Institute,310,Others e.g. NDPBs,0,55513,,,,,,,,,,
Scottish Association of Citizens Advice Bureaux,311,Others e.g. NDPBs,0,52155,,,,,,,,,,
Convener of the School Closure Review Panels,313,Others e.g. NDPBs,0,,,,,,,,,,,
East Ayrshire Integration Joint Board,315,Others e.g. NDPBs,0,89810,,,,,,,,,,
North Ayrshire Integration Joint Board,316,Others e.g. NDPBs,0,89820,,,,,,,,,,
South Ayrshire Integration Joint Board,317,Others e.g. NDPBs,0,89827,,,,,,,,,,
Aberdeen City Integration Joint Board,322,Others e.g. NDPBs,0,89661,,,,,,,,,,
Aberdeenshire Integration Joint Board,323,Others e.g. NDPBs,0,89804,,,,,,,,,,
Angus Integration Joint Board,324,Others e.g. NDPBs,0,89805,,,,,,,,,,
Argyll and Bute Integration Joint Board,325,Others e.g. NDPBs,0,89806,,,,,,,,,,
Edinburgh Integration Joint Board,326,Others e.g. NDPBs,0,88951,,,,,,,,,,
Clackmannanshire and Stirling Integration Joint Board,327,Others e.g. NDPBs,0,89807,,,,,,,,,,
Dumfries and Galloway Integration Joint Board,328,Others e.g. NDPBs,0,89808,,,,,,,,,,
Dundee City Integration Joint Board,329,Others e.g. NDPBs,0,89809,,,,,,,,,,
East Dunbartonshire Integration Joint Board,330,Others e.g. NDPBs,0,89811,,,,,,,,,,
East Lothian Integration Joint Board,331,Others e.g. NDPBs,0,89812,,,,,,,,,,
East Renfrewshire Integration Joint Board,332,Others e.g. NDPBs,0,89813,,,,,,,,,,
Falkirk Integration Joint Board,333,Others e.g. NDPBs,0,89814,,,,,,,,,,
British Waterways Board,308,Others e.g. NDPBs,0,684,,,,,,,,,,
The James Hutton Institute,309,Others e.g. NDPBs,0,55512,,,,,,,,,,
Fife Integration Joint Board,334,Others e.g. NDPBs,0,89815,,,,,,,,,,
Glasgow City Integration Joint Board,335,Others e.g. NDPBs,0,88950,,,,,,,,,,
Inverclyde Integration Joint Board,337,Others e.g. NDPBs,0,89817,,,,,,,,,,
Historic Environment Scotland,314,Others e.g. NDPBs,0,55521,,,,,,,,,,
Midlothian Integration Joint Board,338,Others e.g. NDPBs,0,89818,,,,,,,,,,
Moray Integration Joint Board,339,Others e.g. NDPBs,0,89819,,,,,,,,,,
Western Isles Integration Joint Board,340,Others e.g. NDPBs,0,,,,,,,,,,,
North Lanarkshire Integration Joint Board,341,Others e.g. NDPBs,0,89821,,,,,,,,,,
Orkney Islands Integration Joint Board,342,Others e.g. NDPBs,0,,,,,,,,,,,
Perth and Kinross Integration Joint Board,343,Others e.g. NDPBs,0,89823,,,,,,,,,,
Renfrewshire Integration Joint Board,344,Others e.g. NDPBs,0,89824,,,,,,,,,,
Scottish Borders Health & Social Care Integration Joint Board,345,Others e.g. NDPBs,0,89825,,,,,,,,,,
Shetland Islands Integration Joint Board,346,Others e.g. NDPBs,0,,,,,,,,,,,
South Lanarkshire Integration Joint Board,347,Others e.g. NDPBs,0,89833,,,,,,,,,,
West Dunbartonshire Integration Joint Board,348,Others e.g. NDPBs,0,89828,,,,,,,,,,
West Lothian Integration Joint Board,349,Others e.g. NDPBs,0,89829,,,,,,,,,,
Crown Estate Scotland (Interim Management),401,Others e.g. NDPBs,0,88243,,,,,,,,,,
Scottish Commission on Social Security,405,Others e.g. NDPBs,0,89236,,,,,,,,,,
ILF Scotland,406,Others e.g. NDPBs,0,2939,,,,,,,,,,
Poverty & Inequality Commission,407,Others e.g. NDPBs,0,,,,,,,,,,,
Scottish Land Commission,399,Others e.g. NDPBs,0,64682,,,,,,,,,,
Community Justice Scotland,400,Others e.g. NDPBs,0,64680,,,,,,,,,,
Forgewood Housing Co-operative Ltd,472,Others e.g. NDPBs,0,54866,,,,,,,,,,
Police Service of Scotland,262,Police,1,4290,,,,,,,,,,
Scottish Police Authority,265,Police,1,51569,,,,,,,,,,
Active Stirling,280,s.5 designated body,0,52325,,,,,,,,,,
Leisure and Culture Dundee,293,s.5 designated body,0,52331,,,,,,,,,,
West Lothian Leisure Ltd,300,s.5 designated body,0,88110,,,,,,,,,,
Falkirk Community Trust,301,s.5 designated body,0,52327,,,,,,,,,,
Fife Sports and Leisure Trust,302,s.5 designated body,0,52333,,,,,,,,,,
Culture and Sport Glasgow,303,s.5 designated body,0,4194,,,,,,,,,,
Sport Aberdeen,307,s.5 designated body,0,11260,,,,,,,,,,
Aberdeen Performing Arts,279,s.5 designated body,0,,,,,,,,,,,
Live Borders Ltd,281,s.5 designated body,0,,,,,,,,,,,
Brunton Theatre Trust,282,s.5 designated body,0,,,,,,,,,,,
East Ayrshire Leisure Trust,283,s.5 designated body,0,,,,,,,,,,,
East Dunbartonshire Leisure Trust,284,s.5 designated body,0,,,,,,,,,,,
Eden Court Highlands,285,s.5 designated body,0,,,,,,,,,,,
Edinburgh Leisure Ltd,286,s.5 designated body,0,52330,,,,,,,,,,
Enjoy East Lothian Ltd,287,s.5 designated body,0,,,,,,,,,,,
Capital Theatres,288,s.5 designated body,0,,,,,,,,,,,
Inverclyde Leisure Ltd,289,s.5 designated body,0,52344,,,,,,,,,,
Kilmarnock Leisure Centre Trust,292,s.5 designated body,0,,,,,,,,,,,
Moray Leisure,294,s.5 designated body,0,,,,,,,,,,,
North Ayrshire Leisure Ltd,295,s.5 designated body,0,,,,,,,,,,,
Perth and Kinross Sports Council,296,s.5 designated body,0,,,,,,,,,,,
Renfrewshire Leisure Ltd,297,s.5 designated body,0,52341,,,,,,,,,,
South Lanarkshire Leisure and Culture Ltd,298,s.5 designated body,0,52328,,,,,,,,,,
West Dunbartonshire Leisure,299,s.5 designated body,0,,,,,,,,,,,
High Life Highlands,304,s.5 designated body,0,,,,,,,,,,,
Live Active Leisure,305,s.5 designated body,0,,,,,,,,,,,
North Lanarkshire Leisure,306,s.5 designated body,0,,,,,,,,,,,
Angus Alive,320,s.5 designated body,0,,,,,,,,,,,
Daldorch House School,350,s.5 designated body,0,,,,,,,,,,,
Eden Park Academy,351,s.5 designated body,0,,,,,,,,,,,
Ardfern School,353,s.5 designated body,0,,,,,,,,,,,
Hillside School,354,s.5 designated body,0,,,,,,,,,,,
Balnacraig School,355,s.5 designated body,0,,,,,,,,,,,
St Francis Day Unit,356,s.5 designated body,0,,,,,,,,,,,
St Philips School,357,s.5 designated body,0,,,,,,,,,,,
St Marys Kenmure,358,s.5 designated body,0,,,,,,,,,,,
Common Thread Ltd,360,s.5 designated body,0,,,,,,,,,,,
Priory Troup House Ltd,361,s.5 designated body,0,,,,,,,,,,,
Bachlaw Learning Centre,362,s.5 designated body,0,,,,,,,,,,,
Rossie Young Peoples Trust,363,s.5 designated body,0,,,,,,,,,,,
Addiewell Prison Limited,364,s.5 designated body,0,,,,,,,,,,,
Northview House School,365,s.5 designated body,0,,,,,,,,,,,
Seamab House School,366,s.5 designated body,0,,,,,,,,,,,
VSA,367,s.5 designated body,0,,,,,,,,,,,
Ochil Tower School,374,s.5 designated body,0,92253,,,,,,,,,,
New Struan School,375,s.5 designated body,0,89234,,,,,,,,,,
The Royal Blind School,368,s.5 designated body,0,,,,,,,,,,,
Starley Hall School,370,s.5 designated body,0,,,,,,,,,,,
Scottish Centre for Children with Motor Impairments,371,s.5 designated body,0,,,,,,,,,,,
Scottish Health Innovations Ltd,372,s.5 designated body,0,,,,,,,,,,,
Moore House School,376,s.5 designated body,0,,,,,,,,,,,
Mirren Park School,377,s.5 designated body,0,,,,,,,,,,,
Serco Ltd,383,s.5 designated body,0,58219,,,,,,,,,,
Maben House School,378,s.5 designated body,0,,,,,,,,,,,
Kilmarnock Prison Services Ltd,379,s.5 designated body,0,,,,,,,,,,,
Kibble Education and Care Centre,380,s.5 designated body,0,,,,,,,,,,,
Jordanhill School,381,s.5 designated body,0,,,,,,,,,,,
HMP Addiewell,384,s.5 designated body,0,,,,,,,,,,,
Harmeny Education Trust Limited,385,s.5 designated body,0,,,,,,,,,,,
Good Shepherd Secure Close Support Unit,386,s.5 designated body,0,,,,,,,,,,,
Falkland House School,387,s.5 designated body,0,,,,,,,,,,,
East Park School,388,s.5 designated body,0,,,,,,,,,,,
Dunedin School,389,s.5 designated body,0,,,,,,,,,,,
Donaldsons School,390,s.5 designated body,0,,,,,,,,,,,
CrossReach,391,s.5 designated body,0,,,,,,,,,,,
Closeburn House School,392,s.5 designated body,0,,,,,,,,,,,
Capability Scotland Stanmore House School,393,s.5 designated body,0,,,,,,,,,,,
Capability Scotland Corseford School,394,s.5 designated body,0,,,,,,,,,,,
Camphill Rudolf Steiner School,395,s.5 designated body,0,,,,,,,,,,,
Aspire (Scotland) Limited,396,s.5 designated body,0,,,,,,,,,,,
Netherlea School (ACAD),397,s.5 designated body,0,,,,,,,,,,,
Horsecross Arts Ltd,402,s.5 designated body,0,,,,,,,,,,,
Pickaquoy Centre Trust,403,s.5 designated body,0,,,,,,,,,,,
Fife Cultural Trust,404,s.5 designated body,0,,,,,,,,,,,
Abbeyfield Scotland Ltd,408,s.5 designated body,0,,,,,,,,,,,
Aberdeen Soroptimist Housing Society Ltd,409,s.5 designated body,0,,,,,,,,,,,
Abertay Housing Association Ltd,410,s.5 designated body,0,,,,,,,,,,,
Abronhill Housing Association Ltd,411,s.5 designated body,0,,,,,,,,,,,
Albyn Enterprises Ltd,412,s.5 designated body,0,,,,,,,,,,,
Albyn Housing Society Ltd,413,s.5 designated body,0,,,,,,,,,,,
Almond Housing Association Ltd,414,s.5 designated body,0,,,,,,,,,,,
ANCHO Ltd,415,s.5 designated body,0,,,,,,,,,,,
Angus Housing Association Ltd,416,s.5 designated body,0,,,,,,,,,,,
Ardenglen Housing Association Ltd,417,s.5 designated body,0,,,,,,,,,,,
Argyll Community Housing Association Ltd,418,s.5 designated body,0,,,,,,,,,,,
Argyll Homes for All Limited,419,s.5 designated body,0,,,,,,,,,,,
Ark Housing Association Ltd,420,s.5 designated body,0,54819,,,,,,,,,,
Atrium Homes,421,s.5 designated body,0,54821,,,,,,,,,,
Atrium Initiatives,422,s.5 designated body,0,,,,,,,,,,,
Ayrshire Housing Association,423,s.5 designated body,0,,,,,,,,,,,
Barony Housing Association Ltd,424,s.5 designated body,0,,,,,,,,,,,
Barrhead Housing Association Ltd,425,s.5 designated body,0,54824,,,,,,,,,,
Bellsmyre Housing Association Ltd,426,s.5 designated body,0,54825,,,,,,,,,,
Berwickshire Housing Association Ltd,427,s.5 designated body,0,54826,,,,,,,,,,
Bield Housing & Care,428,s.5 designated body,0,54827,,,,,,,,,,
Blackwood Homes and Care,429,s.5 designated body,0,,,,,,,,,,,
Blairtummock Housing Association Ltd,430,s.5 designated body,0,54828,,,,,,,,,,
Blochairn Housing Association Ltd,431,s.5 designated body,0,54829,,,,,,,,,,
Blue Triangle (Glasgow) Housing Association Ltd,432,s.5 designated body,0,54830,,,,,,,,,,
Bridgewater Housing Association Ltd,433,s.5 designated body,0,54831,,,,,,,,,,
Lochalsh and Skye Housing Association,434,s.5 designated body,0,54833,,,,,,,,,,
Cadder Housing Association Ltd,435,s.5 designated body,0,54834,,,,,,,,,,
Cairn Housing Association Ltd,436,s.5 designated body,0,,,,,,,,,,,
Caledonia Housing Association Ltd,437,s.5 designated body,0,64616,,,,,,,,,,
Calvay Housing Association Ltd,438,s.5 designated body,0,54836,,,,,,,,,,
Cassiltoun Housing Association Ltd,439,s.5 designated body,0,,,,,,,,,,,
Castle Rock Edinvar Housing Association Ltd,440,s.5 designated body,0,54838,,,,,,,,,,
Castlehill Housing Association Ltd,441,s.5 designated body,0,54839,,,,,,,,,,
Cathcart & District Housing Association Ltd,442,s.5 designated body,0,54840,,,,,,,,,,
Cernach Housing Association Ltd,443,s.5 designated body,0,54841,,,,,,,,,,
CHA Power Ltd,444,s.5 designated body,0,,,,,,,,,,,
Charing Cross Housing Association Ltd,445,s.5 designated body,0,54842,,,,,,,,,,
Cloch Housing Association Ltd,446,s.5 designated body,0,54843,,,,,,,,,,
Clyde Valley Housing Association Ltd,447,s.5 designated body,0,54844,,,,,,,,,,
Clyde Valley Property Services,448,s.5 designated body,0,,,,,,,,,,,
